# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	min(T)
539.331886    	3.017786e+02
540.331886    	3.016427e+02
541.331886    	3.015117e+02
542.331886    	3.013855e+02
543.331886    	3.012637e+02
544.331886    	3.011463e+02
545.331886    	3.010331e+02
546.331886    	3.009240e+02
547.331886    	3.008188e+02
548.331886    	3.007174e+02
549.331886    	3.006196e+02
550.331886    	3.005254e+02
551.331886    	3.004345e+02
552.331886    	3.003469e+02
553.331886    	3.002624e+02
554.331886    	3.001810e+02
555.331886    	3.001024e+02
556.331886    	3.000268e+02
557.331886    	2.999538e+02
558.331886    	2.998834e+02
559.331886    	2.998156e+02
560.331886    	2.997502e+02
561.331886    	2.996872e+02
562.331886    	2.996265e+02
563.331886    	2.995679e+02
564.331886    	2.995114e+02
565.331886    	2.994570e+02
566.331886    	2.994045e+02
567.331886    	2.993539e+02
568.331886    	2.993051e+02
569.331886    	2.992581e+02
570.331886    	2.992128e+02
571.331886    	2.991691e+02
572.331886    	2.991270e+02
573.331886    	2.990864e+02
574.331886    	2.990472e+02
575.331886    	2.990095e+02
576.331886    	2.989731e+02
577.331886    	2.989381e+02
578.331886    	2.989043e+02
579.331886    	2.988717e+02
580.331886    	2.988403e+02
581.331886    	2.988100e+02
582.331886    	2.987808e+02
583.331886    	2.987527e+02
584.331886    	2.987255e+02
585.331886    	2.986994e+02
586.331886    	2.986742e+02
587.331886    	2.986499e+02
588.331886    	2.986265e+02
589.331886    	2.986039e+02
590.331886    	2.985821e+02
591.331886    	2.985611e+02
592.331886    	2.985409e+02
593.331886    	2.985214e+02
594.331886    	2.985026e+02
595.331886    	2.984845e+02
596.331886    	2.984670e+02
597.331886    	2.984502e+02
598.331886    	2.984340e+02
599.331886    	2.984183e+02
