# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	max(T)
467.331886    	3.741470e+02
468.331886    	3.714568e+02
469.331886    	3.688599e+02
470.331886    	3.663531e+02
471.331886    	3.639334e+02
472.331886    	3.615978e+02
473.331886    	3.593436e+02
474.331886    	3.571680e+02
475.331886    	3.550684e+02
476.331886    	3.530421e+02
477.331886    	3.510867e+02
478.331886    	3.491999e+02
479.331886    	3.473791e+02
480.331886    	3.456223e+02
481.331886    	3.439272e+02
482.331886    	3.422916e+02
483.331886    	3.407137e+02
484.331886    	3.391913e+02
485.331886    	3.377225e+02
486.331886    	3.363056e+02
487.331886    	3.349387e+02
488.331886    	3.336201e+02
489.331886    	3.323481e+02
490.331886    	3.311211e+02
491.331886    	3.299375e+02
492.331886    	3.287959e+02
493.331886    	3.276947e+02
494.331886    	3.266326e+02
495.331886    	3.256082e+02
496.331886    	3.246201e+02
497.331886    	3.236672e+02
498.331886    	3.227482e+02
499.331886    	3.218618e+02
500.331886    	3.210069e+02
501.331886    	3.201825e+02
502.331886    	3.193875e+02
503.331886    	3.186208e+02
504.331886    	3.178814e+02
505.331886    	3.171684e+02
506.331886    	3.164808e+02
507.331886    	3.158178e+02
508.331886    	3.151784e+02
509.331886    	3.145619e+02
510.331886    	3.139674e+02
511.331886    	3.133941e+02
512.331886    	3.128413e+02
513.331886    	3.123083e+02
514.331886    	3.117944e+02
515.331886    	3.112989e+02
516.331886    	3.108211e+02
517.331886    	3.103604e+02
518.331886    	3.099162e+02
519.331886    	3.094879e+02
520.331886    	3.090749e+02
521.331886    	3.086768e+02
522.331886    	3.082929e+02
523.331886    	3.079228e+02
524.331886    	3.075660e+02
525.331886    	3.072219e+02
526.331886    	3.068902e+02
527.331886    	3.065704e+02
528.331886    	3.062621e+02
529.331886    	3.059648e+02
530.331886    	3.056783e+02
531.331886    	3.054020e+02
532.331886    	3.051356e+02
533.331886    	3.048788e+02
534.331886    	3.046312e+02
535.331886    	3.043925e+02
536.331886    	3.041624e+02
537.331886    	3.039406e+02
538.331886    	3.037267e+02
539.331886    	3.035205e+02
540.331886    	3.033217e+02
541.331886    	3.031301e+02
542.331886    	3.029454e+02
543.331886    	3.027673e+02
544.331886    	3.025956e+02
545.331886    	3.024301e+02
546.331886    	3.022706e+02
547.331886    	3.021167e+02
548.331886    	3.019685e+02
549.331886    	3.018255e+02
550.331886    	3.016877e+02
551.331886    	3.015549e+02
552.331886    	3.014268e+02
553.331886    	3.013033e+02
554.331886    	3.011843e+02
555.331886    	3.010696e+02
556.331886    	3.009590e+02
557.331886    	3.008524e+02
558.331886    	3.007496e+02
559.331886    	3.006505e+02
560.331886    	3.005550e+02
561.331886    	3.004629e+02
562.331886    	3.003742e+02
563.331886    	3.002886e+02
564.331886    	3.002062e+02
565.331886    	3.001267e+02
566.331886    	3.000500e+02
567.331886    	2.999761e+02
568.331886    	2.999049e+02
569.331886    	2.998362e+02
570.331886    	2.997701e+02
571.331886    	2.997063e+02
572.331886    	2.996448e+02
573.331886    	2.995855e+02
574.331886    	2.995283e+02
575.331886    	2.994732e+02
576.331886    	2.994201e+02
577.331886    	2.993689e+02
578.331886    	2.993196e+02
579.331886    	2.992720e+02
580.331886    	2.992262e+02
581.331886    	2.991820e+02
582.331886    	2.991394e+02
583.331886    	2.990983e+02
584.331886    	2.990587e+02
585.331886    	2.990205e+02
586.331886    	2.989837e+02
587.331886    	2.989483e+02
588.331886    	2.989141e+02
589.331886    	2.988811e+02
590.331886    	2.988494e+02
591.331886    	2.988188e+02
592.331886    	2.987892e+02
593.331886    	2.987608e+02
594.331886    	2.987334e+02
595.331886    	2.987069e+02
596.331886    	2.986814e+02
597.331886    	2.986569e+02
598.331886    	2.986332e+02
599.331886    	2.986103e+02
